url;code;buy_below
https://www.amazon.co.uk/Anker-Upgraded-Delivery-Pixelbook-A83460A2-Gray/dp/B07ZVKTP53/ref=sr_1_4?dchild=1&keywords=usb-c+hub+anker&qid=1629390799&sr=8-4;anker-usb-c-hub;35
https://www.amazon.co.uk/Samsung-MU-PA1T0B-Portable-SSD-1TB/dp/B074MCM721/ref=sr_1_3?dchild=1&keywords=external%2Bssd&qid=1629405254&sr=8-3&th=1;samsung-500gb-ssd;50
https://www.amazon.co.uk/SanDisk-Portable-520MB-read-speed/dp/B08RSK74K1/ref=sr_1_2_sspa?dchild=1&keywords=external%2Bssd&qid=1629405254&sr=8-2-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExSjg4SlFPOEhZVFVUJmVuY3J5cHRlZElkPUEwMDk0ODM5M1RMSUhLM1Y2RjBRWSZlbmNyeXB0ZWRBZElkPUEwNjA4NTk2MjRJTEZJUFhZNkkwSiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1;sandisk-480gb-ssd;50
